"Id","Title","Experiment   or Case ID","Lat","Long","Team","No. Floors","First Floor Area [m^2]","Second Floor Area [m^2]","Total Floor Area [m^2]","First Floor Column Area [m^2]","Second Floor Column Area [m^2]","First Floor Concrete Wall Area NS [m^2]","Second Floor Concrete Wall Area NS [m^2]","First Floor Concrete Wall Area EW [m^2]","Second Floor Concrete Wall Area EW [m^2]","First Floor Masonry Wall Area NS [m^2]","Second Floor Masonry Wall Area NS [m^2]","First Floor Masonry Wall Area EW [m^2]","Second Floor Masonry Wall Area EW [m^2]","Structural Damage [L= Light, M=Moderate, S=Severe, C=Collapse]","Masonry Wall Damage [L= Light, M=Moderate, S=Severe]","Captive Columns [1=Yes, 0=No]","Column Index, CI [%]","Wall Index, WI [%]","Priority Index, PI [%]","Report(s)","Data","Photos, Videos, etc.","Drawings/Diagrams",
"94662","Yujing Junior High School B","A01-E01","23.12333333","120.4705556","A","3","469","469","1406","11.4","11.4","0.9","","10.3","","0","0","0","0","L","L","1","0.41","0.07","0.47","","","View 137 media","View 8 drawing(s)",
"94663","TKEC Store Yujing","A02-C02","23.12027778","120.4658333","A","4","203","203","846","2.5","","5.2","","1.4","","0","","0","","L","L","0","0.15","0.16","0.31","","","View 123 media","View 2 drawing(s)",
"94664","Yujing Elementary School NE Wing","A03","23.12166667","120.4583333","A","2","633","633","1265","5.5","5.5","0","","0","","14.6","","6.5","","L","L","1","0.22","0.05","0.27","","","View 73 media","View 35 drawing(s)",
"94665","Yujing Elementary School NW Wing","A04","23.12166667","120.4583333","A","2","416","416","833","4","4","0","","0","","8.6","","0","","S","L","1","0.24","0.00","0.24","","","View 38 media","View 30 drawing(s)",
"94666","Yujing Vocational School Hospitality Dep.","A05","23.12055556","120.4613889","A","3","880","880","3079","10","10","15.8","","3.9","","0","","1.8","","M","M","1","0.16","0.13","0.30","","","View 35 media","View 2 drawing(s)",
"94667","Yujing Vocational School - New Building (N)","A06","23.12244444","120.4599167","A","5","1299","","6496","19.8","","17","","16","","0","","0","","L","","1","0.15","0.25","0.40","","","View 21 media","View 61 drawing(s)",
"94668","Shanshang District Office Building","A07","23.10361111","120.3525","A","3","479","434","1544","5.6","","0","","0","","6.6","","0.8","","S","S","1","0.18","0.00","0.19","","","View 95 media","",
"94669","Shanshang Elementary School N Wing","A08","23.10105556","120.3550833","A","2","788","788","1576","9.2","","0","","0","","18.4","","6.4","","N","N","1","0.29","0.04","0.33","","","View 27 media","View 3 drawing(s)",
"94670","No Access","A09","","","A","","","","","","","","","","","","","","","","","","","","","","","View 11 media","View 1 drawing(s)",
"94671","Naba Elementary School","A10","23.06816667","120.3496111","A","2","297","339","636","4.2","","0","","0","","4.4","","0","","N","L","1","0.33","0.00","0.33","","","View 35 media","View 18 drawing(s)",
